titulo,folio,precio,condicion,envio,opiniones,vendedor_url,tipo_vendedor,ventas_vendedor
Xiaomi Pocophone Poco X5 Pro 5G Dual SIM 256 GB negro 8 GB RAM,,1.149,Nuevo | +100 vendidos,a todo el país,4.7,,MercadoLíder Gold,+100
Apple iPhone 13 (128 GB) - Azul medianoche,,2.899,Nuevo | +1000 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Apple iPhone 11 (128 GB) - Blanco - Distribuidor autorizado,,,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Apple iPhone 11 (128 GB) - Negro - Distribuidor autorizado,,,Nuevo | +500 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Xiaomi Pocophone Poco X5 Pro 5G Dual SIM 256 GB azul 8 GB RAM,,1.159,Nuevo | +100 vendidos,a todo el país,4.7,,MercadoLíder Gold,+100
Apple iPhone 14 Pro Max (128 GB) - Morado oscuro,,4.700,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+100
Samsung Galaxy S22 Ultra (Snapdragon) 5G Dual SIM 256 GB phantom black 12 GB RAM,,3.799,Nuevo | +100 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Apple iPhone 14 Pro Max (256 GB) - Morado oscuro,,4.999,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+500
Apple iPhone 13 (128 GB) - Blanco estelar,,2.899,Nuevo | +500 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Xiaomi 12 Dual SIM 256 GB gris 8 GB RAM,,1.899,Nuevo | +100 vendidos,a todo el país,4.9,,MercadoLíder Gold,+5mil
Apple iPhone 11 (64 GB) - Negro,,1.849,Nuevo | +1000 vendidos,a todo el país,4.4,,,+5mil
Apple iPhone 14 Pro (128 GB) - Morado oscuro,,4.499,Nuevo | +100 vendidos,a todo el país,4.9,,MercadoLíder Gold,+1000
Xiaomi Poco C40 64gb 4gb Ram Dual Sim power black,,508,Nuevo | +100 vendidos,a todo el país,4.5,,MercadoLíder Gold,+100
Apple iPhone 13 (128 GB) - Azul medianoche - Distribuidor autorizado,,,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Xiaomi Redmi 10C Dual SIM 128 GB gris grafito 4 GB RAM,,699,Nuevo | +100 vendidos,a todo el país,4.7,,MercadoLíder Gold,+100
Xiaomi Pocophone Poco M5s Dual SIM 128 GB gris 6 GB RAM,,839,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+1000
Xiaomi Pocophone Poco M5s Dual SIM 128 GB blanco 6 GB RAM,,899,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+1000
Apple iPhone 14 Pro (128 GB) - Color oro - Distribuidor autorizado,,,Nuevo | +5 vendidos,a todo el país,4.9,,MercadoLíder Gold,+5mil
Samsung Galaxy S23 Ultra 512 GB negro 12 GB RAM,,4.556,Nuevo | +5 vendidos,a todo el país,,,MercadoLíder Gold,+500
Google Pixel 7 Pro 128 GB obsidiana 12 GB RAM,,4.149,Nuevo | +5 vendidos,a todo el país,,,MercadoLíder Gold,+1000
Apple iPhone 14 Plus (256 GB) - Morado,,4.640,Nuevo | +5 vendidos,a todo el país,4.4,,MercadoLíder Gold,+5mil
Apple iPhone 14 (128 GB) - Morado - Distribuidor autorizado,,,Nuevo | +25 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Apple iPhone 14 Pro Max (1 TB) - Morado oscuro,,6.880,Nuevo | +5 vendidos,a todo el país,4.8,,MercadoLíder Gold,+1000
Google Pixel 6A 128 GB carbón 6 GB RAM,,1.899,Nuevo | +50 vendidos,a todo el país,4.8,,MercadoLíder,+50
Samsung Galaxy M14 5G 5G Dual SIM 128 GB dark blue 4 GB RAM,,649,Nuevo | +100 vendidos,a todo el país,4.6,,,+5mil
Apple iPhone 12 Pro (128 GB) - Azul pacífico,,3.499,Nuevo | +100 vendidos,a todo el país,4.1,,,+500
Apple iPhone 13 (256 GB) - Verde,,3.999,Nuevo | +5 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Apple iPhone 13 (512 GB) - Azul medianoche,,4.299,Nuevo | +5 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Apple iPhone 12 (64 GB) - Morado,,2.899,Nuevo | +5 vendidos,a todo el país,4.1,,MercadoLíder Gold,+5mil
Xiaomi Redmi 10C Dual SIM 64 GB gris grafito 4 GB RAM,,599,Nuevo | +100 vendidos,a todo el país,4.7,,MercadoLíder Gold,+5mil
Apple iPhone 14 Pro (512 GB) - Color plata,,5.999,Nuevo | 2 vendidos,a todo el país,4.9,,MercadoLíder Gold,+5mil
Apple iPhone 13 mini (128 GB) - Verde,,3.499,Nuevo | 3 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
